state,district,year,rape,kidnapping,dowry,assault,insult,cruelty,total_crimes,risk_score,rape_ratio,kidnap_ratio,domestic_ratio,assault_ratio,crime_trend,police_total,ipc_total,state_enc,district_enc,risk_level
ANDAMAN & NICOBAR ISLANDS,A AND N ISLANDS,2007,3.0,9.0,1.0,21.0,2.0,18.0,54.0,104.5,0.05454545454545454,0.16363636363636364,0.32727272727272727,0.38181818181818183,0.0,6016.0,0.0,0,2,0
ANDAMAN & NICOBAR ISLANDS,ANDAMAN,2001,3.0,2.0,0.0,18.0,1.0,9.0,33.0,64.5,0.08823529411764706,0.058823529411764705,0.2647058823529412,0.5294117647058824,0.0,5804.0,0.0,0,37,0
ANDAMAN & NICOBAR ISLANDS,ANDAMAN,2002,1.0,1.0,0.0,16.0,3.0,4.0,25.0,46.5,0.038461538461538464,0.038461538461538464,0.15384615384615385,0.6153846153846154,-0.24242424242424243,6224.0,0.0,0,37,0
ANDAMAN & NICOBAR ISLANDS,ANDAMAN,2003,2.0,2.0,0.0,9.0,2.0,7.0,22.0,41.5,0.08695652173913043,0.08695652173913043,0.30434782608695654,0.391304347826087,-0.12,5662.0,0.0,0,37,0
ANDAMAN & NICOBAR ISLANDS,ANDAMAN,2004,10.0,3.0,0.0,5.0,3.0,5.0,26.0,58.0,0.37037037037037035,0.1111111111111111,0.18518518518518517,0.18518518518518517,0.18181818181818188,5786.0,0.0,0,37,0
ANDAMAN & NICOBAR ISLANDS,ANDAMAN,2005,4.0,1.0,0.0,10.0,1.0,5.0,21.0,43.0,0.18181818181818182,0.045454545454545456,0.22727272727272727,0.45454545454545453,-0.1923076923076923,5826.0,0.0,0,37,0
ANDAMAN & NICOBAR ISLANDS,ANDAMAN,2006,6.0,5.0,0.0,12.0,4.0,7.0,34.0,69.0,0.17142857142857143,0.14285714285714285,0.2,0.34285714285714286,0.6190476190476191,5744.0,0.0,0,37,0
ANDAMAN & NICOBAR ISLANDS,ANDAMAN,2008,12.0,13.0,2.0,24.0,3.0,25.0,79.0,161.0,0.15,0.1625,0.3125,0.3,1.323529411764706,5944.0,0.0,0,37,0
ANDAMAN & NICOBAR ISLANDS,ANDAMAN,2009,18.0,14.0,1.0,29.0,7.0,21.0,90.0,187.5,0.1978021978021978,0.15384615384615385,0.23076923076923078,0.31868131868131866,0.139240506329114,7928.0,0.0,0,37,0
ANDAMAN & NICOBAR ISLANDS,ANDAMAN,2010,23.0,8.0,0.0,31.0,10.0,9.0,81.0,174.5,0.2804878048780488,0.0975609756097561,0.10975609756097561,0.3780487804878049,-0.09999999999999998,8026.0,0.0,0,37,0
